agency_cd,site_no,datetime,tz_cd,datetime,101280_00060,101280_00060_cd,
USGS,8353000,8/31/2019,23:00,8/31/2019 23:00,MDT,1.34,P
USGS,8353000,8/31/2019,23:15,8/31/2019 23:15,MDT,1.25,P
USGS,8353000,8/31/2019,23:30,8/31/2019 23:30,MDT,1.25,P
USGS,8353000,8/31/2019,23:45,8/31/2019 23:45,MDT,1.25,P
USGS,8353000,9/1/2019,0:00,9/1/2019 0:00,MDT,1.16,P
USGS,8353000,9/1/2019,0:15,9/1/2019 0:15,MDT,1.16,P
USGS,8353000,9/1/2019,0:30,9/1/2019 0:30,MDT,1.08,P
USGS,8353000,9/1/2019,0:45,9/1/2019 0:45,MDT,1.08,P
USGS,8353000,9/1/2019,1:00,9/1/2019 1:00,MDT,1.08,P
USGS,8353000,9/1/2019,1:15,9/1/2019 1:15,MDT,1.08,P
USGS,8353000,9/1/2019,1:30,9/1/2019 1:30,MDT,1,P
USGS,8353000,9/1/2019,1:45,9/1/2019 1:45,MDT,1,P
USGS,8353000,9/1/2019,2:00,9/1/2019 2:00,MDT,1,P
USGS,8353000,9/1/2019,2:15,9/1/2019 2:15,MDT,0.93,P
USGS,8353000,9/1/2019,2:30,9/1/2019 2:30,MDT,0.93,P
USGS,8353000,9/1/2019,2:45,9/1/2019 2:45,MDT,0.86,P
USGS,8353000,9/1/2019,3:00,9/1/2019 3:00,MDT,0.86,P
USGS,8353000,9/1/2019,3:15,9/1/2019 3:15,MDT,0.86,P
USGS,8353000,9/1/2019,3:30,9/1/2019 3:30,MDT,0.86,P
USGS,8353000,9/1/2019,3:45,9/1/2019 3:45,MDT,0.8,P
USGS,8353000,9/1/2019,4:00,9/1/2019 4:00,MDT,0.8,P
USGS,8353000,9/1/2019,4:15,9/1/2019 4:15,MDT,0.8,P
USGS,8353000,9/1/2019,4:30,9/1/2019 4:30,MDT,0.74,P
USGS,8353000,9/1/2019,4:45,9/1/2019 4:45,MDT,0.74,P
